,Book Name,Description,Author,Number of Reviews,Rating,Price,Listening_Time_Minutes,Rank,Genre
102,who will cry when you die hindi life lesson from the monk who sold his ferrari,when you were born you cried while the world rejoiced live your life in such a way that when you die the world cry while you rejoice ancient sanskrit saying,robin sharma,217.0,4.4,668.0,309,133,personal success personal development self help
103,anxious people,brought to you by penguin,fredrik backman,22.0,4.6,888.0,592,100,humorous fiction crime fiction humour book
104,outlier the story of success,in this stunning new book malcolm gladwell take u on an intellectual journey through the world of outlier the best and the brightest the most famous and the most successful he asks the question what make high achiever different his answer is that we pay too much attention to what successful people are like and too little attention to where they are from that is their culture their family their generation and the idiosyncratic experience of their upbringing along the way he explains the secret of software billionaire what it take to be a great soccer player why asian are good at math and what made the beatles the greatest rock band,malcolm gladwell,4459.0,4.3,500.0,438,112,social psychology anthropology audible audiobooks original business motivation self improvement
105,the law of success,the law of success wa a precursor to napoleon hill s think and grow rich hill wa well known for researching what made millionaire different from the common man the sixteen lesson in this book perfectly crystallize everything you will need to know to succeed during these hard economic time many of today s best known self help book take there core concept form this book the secret the power of positive thinking the millionaire next door and the law of attraction all take their basic premise from this landmark work now you can get it from the source,napoleon hill,855.0,4.4,32.0,1436,220,personal success in business personal success business economics
106,when breath becomes air,tackling the agonizing transition from skilled surgeon to bewildered patient when breath becomes air is an unflinching account of what it mean to be betrayed by the body you devoted your life to understanding,paul kalanithi,11526.0,4.6,615.0,335,123,sociology of death dying grief loss cancer
107,tale of indian mythology,one treat a day a volume series of treat story fact question and answer and science experiment for young listener,om books international,238.0,4.4,836.0,601,81,literary criticism for child child s traditional story book
108,hooked how to build habit forming product,note to audible listener a of december this version of the hooked audiobook ha been revised and rerecorded to greatly improve audio quality please disregard any review mentioning poor audio quality prior to december,nir eyal,1760.0,4.6,501.0,280,99,consumer behaviour business career design fashion book
109,the design of everyday thing revised and expanded edition,design doesn t have to be complicated which is why this guide to human centered design show that usability is just a important a aesthetic,don norman,1394.0,4.3,500.0,639,94,architecture audible audiobooks original industrial engineering audible audiobooks original interior design
110,what every body is saying an ex fbi agent s guide to speed reading people,he say that s his best offer is it,joe navarro,3401.0,4.5,10378.0,439,165,business sale communication social skill business career
111,alibaba the house that jack ma built,an engrossing insider s account of how a teacher built one of the world s most valuable company rivaling walmart and amazon and forever reshaped the global economy,duncan clark,593.0,4.3,13345.0,549,131,e commerce biography of business leader internet social medium book
